text,label
"An absolute masterpiece. The acting was superb and the cinematography breathtaking.",1
"A truly unforgettable film with deep performances and beautiful direction.",1
"Loved every minute of it. The pacing was perfect and the characters felt real.",1
"One of the best movies I have seen this year. Heartfelt, smart, and beautifully made.",1
"Incredible storytelling and stunning visuals. Highly recommended.",1
"A delightful film from start to finish. Great chemistry between the leads.",1
"Brilliantly written and emotionally powerful. A must-see.",1
"I was completely captivated. The score alone is worth the price of admission.",1
"What a wonderful surprise. Funny, touching, and beautifully shot.",1
"The director has crafted something truly special. Cannot recommend it enough.",1
"Engaging and thought-provoking from beginning to end.",1
"A near-perfect film. Every scene serves the story.",1
"Sharp dialogue, strong performances, and an unexpectedly moving finale.",1
"An emotional rollercoaster in the best possible way.",1
"A triumph. Smart, funny, and beautifully acted across the board.",1
"Easily the most enjoyable film I have seen all year.",1
"A boring, tedious mess that I could not wait to end.",0
"Painfully slow and predictable. The acting was wooden throughout.",0
"A complete waste of time. The script makes no sense.",0
"Awful from start to finish. I wanted my money back.",0
"One of the worst films I have ever sat through.",0
"Dull, lifeless, and badly edited. Avoid at all costs.",0
"Truly terrible. Even the talented cast could not save this script.",0
"A confusing, joyless slog. I would not recommend it.",0
"The plot is incoherent and the pacing is glacial.",0
"Cheap-looking, poorly acted, and instantly forgettable.",0
"Painful to watch. Bad in every conceivable way.",0
"Not funny, not clever, not interesting. A failure on every level.",0
"Boring and pretentious. The film thinks it is far smarter than it actually is.",0
"A muddled disaster of a movie. Skip it.",0
"Predictable, lazy, and frankly insulting to the audience.",0
"A complete disappointment. Nothing about this works.",0
